continent,date,Total_cases,Total_deaths,Reproduction_rate,Total_tests,Positive_rate,Population,Population_density,Median_age,Aged_65_older,Life_expectancy
Europe,2020-03-25,146,5,1.17,922,0.336,2877800,104.871,38.0,13,78.57
Europe,2020-03-26,174,6,1.14,1025,0.334,2877800,104.871,38.0,13,78.57
Europe,2020-03-27,186,8,1.08,1127,0.296,2877800,104.871,38.0,13,78.57
Europe,2020-03-28,197,10,1.04,1206,0.283,2877800,104.871,38.0,13,78.57
Europe,2020-03-29,212,10,1.04,1317,0.244,2877800,104.871,38.0,13,78.57
Europe,2020-03-30,223,11,1.05,1407,0.212,2877800,104.871,38.0,13,78.57
Europe,2020-03-31,243,15,1.08,1552,0.18,2877800,104.871,38.0,13,78.57
Europe,2020-04-01,259,15,1.08,1704,0.144,2877800,104.871,38.0,13,78.57
Europe,2020-04-02,277,16,1.11,1800,0.133,2877800,104.871,38.0,13,78.57
Europe,2020-04-03,304,17,1.15,1912,0.151,2877800,104.871,38.0,13,78.57
Europe,2020-04-04,333,20,1.14,2128,0.147,2877800,104.871,38.0,13,78.57
Europe,2020-04-05,361,20,1.08,2277,0.155,2877800,104.871,38.0,13,78.57
Europe,2020-04-06,377,21,1.0,2452,0.148,2877800,104.871,38.0,13,78.57
Europe,2020-04-07,383,22,0.92,2634,0.129,2877800,104.871,38.0,13,78.57
Europe,2020-04-08,400,22,0.88,2870,0.121,2877800,104.871,38.0,13,78.57
Europe,2020-04-09,409,23,0.86,3104,0.101,2877800,104.871,38.0,13,78.57
Europe,2020-04-10,416,23,0.88,3266,0.083,2877800,104.871,38.0,13,78.57
Europe,2020-04-11,433,23,0.93,3525,0.071,2877800,104.871,38.0,13,78.57
Europe,2020-04-12,446,23,0.97,3758,0.057,2877800,104.871,38.0,13,78.57
Europe,2020-04-13,467,23,1.01,3951,0.06,2877800,104.871,38.0,13,78.57
Europe,2020-04-14,475,24,1.01,4187,0.059,2877800,104.871,38.0,13,78.57
Europe,2020-04-15,494,25,1.05,4439,0.06,2877800,104.871,38.0,13,78.57
Europe,2020-04-16,518,26,1.08,4708,0.068,2877800,104.871,38.0,13,78.57
Europe,2020-04-17,539,26,1.08,4961,0.073,2877800,104.871,38.0,13,78.57
Europe,2020-04-18,548,26,1.06,5192,0.069,2877800,104.871,38.0,13,78.57
Europe,2020-04-19,562,26,1.1,5423,0.07,2877800,104.871,38.0,13,78.57
Europe,2020-04-20,584,26,1.14,5656,0.068,2877800,104.871,38.0,13,78.57
Europe,2020-04-21,609,26,1.16,5898,0.078,2877800,104.871,38.0,13,78.57
Europe,2020-04-22,634,27,1.14,6150,0.082,2877800,104.871,38.0,13,78.57
Europe,2020-04-23,663,27,1.1,6390,0.086,2877800,104.871,38.0,13,78.57
Europe,2020-04-24,678,27,1.05,6649,0.082,2877800,104.871,38.0,13,78.57
Europe,2020-04-25,712,27,1.02,6896,0.096,2877800,104.871,38.0,13,78.57
Europe,2020-04-26,726,28,0.94,7160,0.094,2877800,104.871,38.0,13,78.57
Europe,2020-04-27,736,28,0.86,7372,0.089,2877800,104.871,38.0,13,78.57
Europe,2020-04-28,750,30,0.81,7639,0.081,2877800,104.871,38.0,13,78.57
Europe,2020-04-29,766,30,0.76,7909,0.075,2877800,104.871,38.0,13,78.57
Europe,2020-04-30,773,31,0.71,8134,0.063,2877800,104.871,38.0,13,78.57
Europe,2020-05-01,782,31,0.7,8379,0.06,2877800,104.871,38.0,13,78.57
Europe,2020-05-02,789,31,0.7,8550,0.047,2877800,104.871,38.0,13,78.57
Europe,2020-05-03,795,31,0.73,8747,0.043,2877800,104.871,38.0,13,78.57
Europe,2020-05-04,803,31,0.77,8887,0.044,2877800,104.871,38.0,13,78.57
Europe,2020-05-05,820,31,0.81,9157,0.046,2877800,104.871,38.0,13,78.57
Europe,2020-05-06,832,31,0.79,9412,0.044,2877800,104.871,38.0,13,78.57
Europe,2020-05-07,842,31,0.78,9687,0.044,2877800,104.871,38.0,13,78.57
Europe,2020-05-08,850,31,0.78,9925,0.044,2877800,104.871,38.0,13,78.57
Europe,2020-05-09,856,31,0.79,10149,0.042,2877800,104.871,38.0,13,78.57
Europe,2020-05-10,868,31,0.83,10319,0.046,2877800,104.871,38.0,13,78.57
Europe,2020-05-11,872,31,0.84,10440,0.044,2877800,104.871,38.0,13,78.57
Europe,2020-05-12,876,31,0.86,10683,0.037,2877800,104.871,38.0,13,78.57
Europe,2020-05-13,880,31,0.93,10929,0.032,2877800,104.871,38.0,13,78.57
Europe,2020-05-14,898,31,1.06,11120,0.039,2877800,104.871,38.0,13,78.57
Europe,2020-05-15,916,31,1.1,11339,0.047,2877800,104.871,38.0,13,78.57
Europe,2020-05-16,933,31,1.09,11645,0.051,2877800,104.871,38.0,13,78.57
Europe,2020-05-17,946,31,1.04,11905,0.049,2877800,104.871,38.0,13,78.57
Europe,2020-05-18,948,31,0.97,12073,0.047,2877800,104.871,38.0,13,78.57
Europe,2020-05-19,949,31,0.94,12250,0.047,2877800,104.871,38.0,13,78.57
Europe,2020-05-20,964,31,0.99,12436,0.056,2877800,104.871,38.0,13,78.57
Europe,2020-05-21,969,31,1.01,12640,0.047,2877800,104.871,38.0,13,78.57
Europe,2020-05-22,981,31,1.07,12814,0.044,2877800,104.871,38.0,13,78.57
Europe,2020-05-23,989,31,1.13,13014,0.041,2877800,104.871,38.0,13,78.57
Europe,2020-05-24,998,32,1.21,13160,0.042,2877800,104.871,38.0,13,78.57
Europe,2020-05-25,1004,32,1.31,13214,0.049,2877800,104.871,38.0,13,78.57
Europe,2020-05-26,1029,33,1.43,13387,0.071,2877800,104.871,38.0,13,78.57
Europe,2020-05-27,1050,33,1.45,13649,0.071,2877800,104.871,38.0,13,78.57
Europe,2020-05-28,1076,33,1.44,13874,0.087,2877800,104.871,38.0,13,78.57
Europe,2020-05-29,1099,33,1.39,14150,0.088,2877800,104.871,38.0,13,78.57
Europe,2020-05-30,1122,33,1.33,14379,0.097,2877800,104.871,38.0,13,78.57
Europe,2020-05-31,1137,33,1.26,14604,0.096,2877800,104.871,38.0,13,78.57
Europe,2020-06-01,1143,33,1.21,14706,0.093,2877800,104.871,38.0,13,78.57
Europe,2020-06-02,1164,33,1.19,14949,0.086,2877800,104.871,38.0,13,78.57
Europe,2020-06-03,1184,33,1.18,15246,0.084,2877800,104.871,38.0,13,78.57
Europe,2020-06-04,1197,33,1.18,15528,0.073,2877800,104.871,38.0,13,78.57
Europe,2020-06-05,1212,33,1.22,15690,0.073,2877800,104.871,38.0,13,78.57
Europe,2020-06-06,1232,34,1.28,15943,0.07,2877800,104.871,38.0,13,78.57
Europe,2020-06-07,1246,34,1.34,16136,0.071,2877800,104.871,38.0,13,78.57
Europe,2020-06-08,1263,34,1.44,16238,0.078,2877800,104.871,38.0,13,78.57
Europe,2020-06-09,1299,34,1.53,16597,0.082,2877800,104.871,38.0,13,78.57
Europe,2020-06-10,1341,34,1.6,16908,0.095,2877800,104.871,38.0,13,78.57
Europe,2020-06-11,1385,35,1.62,17199,0.112,2877800,104.871,38.0,13,78.57
Europe,2020-06-12,1416,36,1.62,17499,0.113,2877800,104.871,38.0,13,78.57
Europe,2020-06-13,1464,36,1.65,17769,0.127,2877800,104.871,38.0,13,78.57
Europe,2020-06-14,1521,36,1.66,18131,0.138,2877800,104.871,38.0,13,78.57
Europe,2020-06-15,1590,36,1.65,18450,0.148,2877800,104.871,38.0,13,78.57
Europe,2020-06-16,1672,37,1.57,18814,0.168,2877800,104.871,38.0,13,78.57
Europe,2020-06-17,1722,38,1.47,19147,0.17,2877800,104.871,38.0,13,78.57
Europe,2020-06-18,1788,39,1.4,19427,0.181,2877800,104.871,38.0,13,78.57
Europe,2020-06-19,1838,42,1.34,19757,0.187,2877800,104.871,38.0,13,78.57
Europe,2020-06-20,1891,43,1.29,20077,0.185,2877800,104.871,38.0,13,78.57
Europe,2020-06-21,1962,44,1.26,20404,0.194,2877800,104.871,38.0,13,78.57
Europe,2020-06-22,1995,44,1.22,20643,0.185,2877800,104.871,38.0,13,78.57
Europe,2020-06-23,2047,45,1.21,20971,0.174,2877800,104.871,38.0,13,78.57
Europe,2020-06-24,2114,47,1.22,21318,0.181,2877800,104.871,38.0,13,78.57
Europe,2020-06-25,2192,49,1.23,21662,0.181,2877800,104.871,38.0,13,78.57
Europe,2020-06-26,2269,51,1.22,22064,0.187,2877800,104.871,38.0,13,78.57
Europe,2020-06-27,2330,53,1.19,22419,0.187,2877800,104.871,38.0,13,78.57
Europe,2020-06-28,2402,55,1.18,22793,0.184,2877800,104.871,38.0,13,78.57
Europe,2020-06-29,2466,58,1.16,23164,0.187,2877800,104.871,38.0,13,78.57
Europe,2020-06-30,2535,62,1.13,23535,0.19,2877800,104.871,38.0,13,78.57
Europe,2020-07-01,2580,65,1.12,23804,0.188,2877800,104.871,38.0,13,78.57
Europe,2020-07-02,2662,69,1.14,24172,0.187,2877800,104.871,38.0,13,78.57
Europe,2020-07-03,2752,72,1.15,24534,0.195,2877800,104.871,38.0,13,78.57
Europe,2020-07-04,2819,74,1.14,24910,0.196,2877800,104.871,38.0,13,78.57
Europe,2020-07-05,2893,76,1.13,25302,0.196,2877800,104.871,38.0,13,78.57
Europe,2020-07-06,2964,79,1.12,25761,0.192,2877800,104.871,38.0,13,78.57
Europe,2020-07-07,3038,81,1.12,26170,0.191,2877800,104.871,38.0,13,78.57
Europe,2020-07-08,3106,83,1.13,26567,0.19,2877800,104.871,38.0,13,78.57
Europe,2020-07-09,3188,83,1.14,26968,0.188,2877800,104.871,38.0,13,78.57
Europe,2020-07-10,3278,85,1.16,27388,0.184,2877800,104.871,38.0,13,78.57
Europe,2020-07-11,3371,89,1.17,27808,0.19,2877800,104.871,38.0,13,78.57
Europe,2020-07-12,3454,93,1.17,28228,0.192,2877800,104.871,38.0,13,78.57
Europe,2020-07-13,3571,95,1.17,28813,0.199,2877800,104.871,38.0,13,78.57
Europe,2020-07-14,3667,97,1.13,29264,0.203,2877800,104.871,38.0,13,78.57
Europe,2020-07-15,3752,101,1.11,29625,0.211,2877800,104.871,38.0,13,78.57
Europe,2020-07-16,3851,104,1.09,30050,0.215,2877800,104.871,38.0,13,78.57
Europe,2020-07-17,3906,107,1.07,30481,0.203,2877800,104.871,38.0,13,78.57
Europe,2020-07-18,4008,111,1.08,30982,0.201,2877800,104.871,38.0,13,78.57
Europe,2020-07-19,4090,112,1.07,31313,0.206,2877800,104.871,38.0,13,78.57
Europe,2020-07-20,4171,113,1.08,31580,0.217,2877800,104.871,38.0,13,78.57
Europe,2020-07-21,4290,117,1.09,32062,0.222,2877800,104.871,38.0,13,78.57
Europe,2020-07-22,4358,120,1.08,32558,0.207,2877800,104.871,38.0,13,78.57
Europe,2020-07-23,4466,123,1.1,33035,0.206,2877800,104.871,38.0,13,78.57
Europe,2020-07-24,4570,128,1.1,33599,0.213,2877800,104.871,38.0,13,78.57
Europe,2020-07-25,4637,134,1.1,33903,0.215,2877800,104.871,38.0,13,78.57
Europe,2020-07-26,4763,138,1.13,34407,0.218,2877800,104.871,38.0,13,78.57
Europe,2020-07-27,4880,144,1.13,34907,0.213,2877800,104.871,38.0,13,78.57
South America,2020-03-21,158,4,2.19,2087,0.179,45195777,16.177,31.9,11,76.67
South America,2020-03-22,266,4,2.19,2334,0.201,45195777,16.177,31.9,11,76.67
South America,2020-03-23,301,4,2.11,2622,0.198,45195777,16.177,31.9,11,76.67
South America,2020-03-24,387,6,2.03,3067,0.223,45195777,16.177,31.9,11,76.67
South America,2020-03-25,387,8,1.97,3617,0.242,45195777,16.177,31.9,11,76.67
South America,2020-03-26,502,9,1.92,4203,0.25,45195777,16.177,31.9,11,76.67
South America,2020-03-27,589,13,1.85,4660,0.262,45195777,16.177,31.9,11,76.67
South America,2020-03-28,690,18,1.79,5142,0.252,45195777,16.177,31.9,11,76.67
South America,2020-03-29,745,19,1.72,5860,0.236,45195777,16.177,31.9,11,76.67
South America,2020-03-30,820,23,1.69,6519,0.233,45195777,16.177,31.9,11,76.67
South America,2020-03-31,1054,27,1.65,7189,0.216,45195777,16.177,31.9,11,76.67
South America,2020-04-01,1054,28,1.55,8260,0.193,45195777,16.177,31.9,11,76.67
South America,2020-04-02,1133,36,1.48,9931,0.166,45195777,16.177,31.9,11,76.67
South America,2020-04-03,1265,39,1.44,11535,0.147,45195777,16.177,31.9,11,76.67
South America,2020-04-04,1451,43,1.39,12938,0.137,45195777,16.177,31.9,11,76.67
South America,2020-04-05,1451,44,1.31,14024,0.128,45195777,16.177,31.9,11,76.67
South America,2020-04-06,1554,48,1.28,15392,0.121,45195777,16.177,31.9,11,76.67
South America,2020-04-07,1628,56,1.25,17078,0.11,45195777,16.177,31.9,11,76.67
South America,2020-04-08,1715,63,1.24,19084,0.104,45195777,16.177,31.9,11,76.67
South America,2020-04-09,1795,72,1.21,20939,0.098,45195777,16.177,31.9,11,76.67
South America,2020-04-10,1975,82,1.21,22659,0.101,45195777,16.177,31.9,11,76.67
South America,2020-04-11,1975,83,1.19,24480,0.096,45195777,16.177,31.9,11,76.67
South America,2020-04-12,2142,90,1.2,26068,0.093,45195777,16.177,31.9,11,76.67
South America,2020-04-13,2208,97,1.19,27933,0.09,45195777,16.177,31.9,11,76.67
South America,2020-04-14,2277,102,1.18,30046,0.093,45195777,16.177,31.9,11,76.67
South America,2020-04-15,2443,111,1.19,32347,0.096,45195777,16.177,31.9,11,76.67
South America,2020-04-16,2571,115,1.17,34705,0.096,45195777,16.177,31.9,11,76.67
South America,2020-04-17,2669,123,1.16,36898,0.09,45195777,16.177,31.9,11,76.67
South America,2020-04-18,2758,129,1.16,39179,0.091,45195777,16.177,31.9,11,76.67
South America,2020-04-19,2839,132,1.16,40810,0.09,45195777,16.177,31.9,11,76.67
South America,2020-04-20,2941,136,1.18,43193,0.087,45195777,16.177,31.9,11,76.67
South America,2020-04-21,3031,147,1.2,46087,0.089,45195777,16.177,31.9,11,76.67
South America,2020-04-22,3144,152,1.23,48745,0.084,45195777,16.177,31.9,11,76.67
South America,2020-04-23,3435,165,1.25,51460,0.083,45195777,16.177,31.9,11,76.67
South America,2020-04-24,3607,176,1.23,54763,0.084,45195777,16.177,31.9,11,76.67
South America,2020-04-25,3780,185,1.21,57408,0.086,45195777,16.177,31.9,11,76.67
South America,2020-04-26,3892,192,1.17,59140,0.087,45195777,16.177,31.9,11,76.67
South America,2020-04-27,4003,197,1.15,61371,0.091,45195777,16.177,31.9,11,76.67
South America,2020-04-28,4127,207,1.14,64305,0.086,45195777,16.177,31.9,11,76.67
South America,2020-04-29,4285,214,1.12,67387,0.086,45195777,16.177,31.9,11,76.67
South America,2020-04-30,4428,218,1.11,70236,0.087,45195777,16.177,31.9,11,76.67
South America,2020-05-01,4532,225,1.11,73282,0.084,45195777,16.177,31.9,11,76.67
South America,2020-05-02,4681,237,1.13,75572,0.08,45195777,16.177,31.9,11,76.67
South America,2020-05-03,4783,246,1.14,77703,0.08,45195777,16.177,31.9,11,76.67
South America,2020-05-04,4887,260,1.17,80555,0.075,45195777,16.177,31.9,11,76.67
South America,2020-05-05,5020,264,1.2,84612,0.076,45195777,16.177,31.9,11,76.67
South America,2020-05-06,5208,273,1.24,88693,0.077,45195777,16.177,31.9,11,76.67
South America,2020-05-07,5371,282,1.27,92617,0.077,45195777,16.177,31.9,11,76.67
South America,2020-05-08,5611,293,1.31,96293,0.079,45195777,16.177,31.9,11,76.67
South America,2020-05-09,5776,300,1.33,99889,0.081,45195777,16.177,31.9,11,76.67
South America,2020-05-10,6034,305,1.37,102171,0.084,45195777,16.177,31.9,11,76.67
South America,2020-05-11,6278,314,1.39,105831,0.089,45195777,16.177,31.9,11,76.67
South America,2020-05-12,6563,319,1.4,109593,0.094,45195777,16.177,31.9,11,76.67
South America,2020-05-13,6879,329,1.4,113940,0.097,45195777,16.177,31.9,11,76.67
South America,2020-05-14,7134,353,1.4,118150,0.098,45195777,16.177,31.9,11,76.67
South America,2020-05-15,7479,356,1.41,122555,0.103,45195777,16.177,31.9,11,76.67
South America,2020-05-16,7805,363,1.43,126308,0.107,45195777,16.177,31.9,11,76.67
South America,2020-05-17,8068,373,1.44,129118,0.106,45195777,16.177,31.9,11,76.67
South America,2020-05-18,8371,382,1.46,133244,0.108,45195777,16.177,31.9,11,76.67
South America,2020-05-19,8809,393,1.48,138842,0.11,45195777,16.177,31.9,11,76.67
South America,2020-05-20,9283,403,1.5,144719,0.114,45195777,16.177,31.9,11,76.67
South America,2020-05-21,9931,416,1.51,150635,0.122,45195777,16.177,31.9,11,76.67
