Country,Continent,Population,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,Serious_Critical,TotalTests,WHO_Region
USA,North America,331198130,5032179,162804,2576668,2292707,18296,63139605,Americas
Brazil,South America,212710692,2917562,98644,2047660,771258,8318,13206188,Americas
India,Asia,1381344997,2025409,41638,1377384,606387,8944,22149351,South-EastAsia
Russia,Europe,145940924,871894,14606,676357,180931,2300,29716907,Europe
South Africa,Africa,59381566,538184,9604,387316,141264,539,3149807,Africa
Mexico,North America,129066160,462690,50517,308848,103325,3987,1056915,Americas
Peru,South America,33016319,455409,20424,310337,124648,1426,2493429,Americas
Chile,South America,19132514,366671,9889,340168,16614,1358,1760615,Americas
Colombia,South America,50936262,357710,11939,192355,153416,1493,1801835,Americas
Iran,Asia,84097623,320117,17976,277463,24678,4156,2612763,EasternMediterranean
Saudi Arabia,Asia,34865919,284226,3055,247089,34082,1915,3635705,EasternMediterranean
Pakistan,Asia,221295851,281863,6035,256058,19770,809,2058872,EasternMediterranean
Italy,Europe,60452568,249204,35187,201323,12694,42,7099713,Europe
Turkey,Asia,84428331,237265,5798,220546,10921,580,5081802,Europe
Argentina,South America,45236884,228195,4251,99852,124092,1150,794544,Americas
Germany,Europe,83811260,215210,9252,196200,9758,236,8586648,Europe
France,Europe,65288306,195633,30312,82460,82861,384,3992206,Europe
Iraq,Asia,40306025,140603,5161,101025,34417,517,1092741,EasternMediterranean
Philippines,Asia,109722719,119460,2150,66837,50473,239,1669996,WesternPacific
Canada,North America,37775022,118561,8966,103106,6489,2263,4319172,Americas
Qatar,Asia,2807805,112092,178,108831,3083,77,511000,EasternMediterranean
Kazakhstan,Asia,18798667,95942,1058,68871,26013,221,2163713,Europe
Egypt,Africa,102516525,95006,4951,48898,41157,41,135000,EasternMediterranean
Ecuador,South America,17668824,90537,5877,71318,13342,378,258582,Americas
Bolivia,South America,11688459,86423,3465,27373,55585,71,183583,Americas
Oman,Asia,5118446,80713,492,70910,9311,177,309212,EasternMediterranean
Israel,Asia,9197590,79559,576,53427,25556,358,1872453,Europe
Ukraine,Europe,43705858,76808,1819,42524,32465,158,1116641,Europe
Dominican Republic,North America,10858648,76536,1246,40539,34751,317,281926,Americas
Panama,North America,4321282,71418,1574,45658,24186,161,240995,Americas
Belgium,Europe,11594739,71158,9859,17661,43638,61,1767120,Europe
Kuwait,Asia,4276658,70045,469,61610,7966,127,522200,EasternMediterranean
Romania,Europe,19224023,57895,2566,28992,26337,458,1319369,Europe
Guatemala,North America,17946899,54339,2119,42070,10150,5,172712,Americas
Portugal,Europe,10193593,52061,1743,37840,12478,42,1705474,Europe
Poland,Europe,37842302,49515,1774,35642,12099,72,2374686,Europe
Nigeria,Africa,206606300,45244,930,32430,11884,7,306894,Africa
Honduras,North America,9919704,45098,1423,6116,37559,52,109292,Americas
Bahrain,Asia,1706669,42889,156,39945,2788,41,876700,EasternMediterranean
Japan,Asia,126435859,42263,1026,28877,12360,115,938739,WesternPacific
Ghana,Africa,31133483,39642,199,36384,3059,7,405817,Africa
Kyrgyzstan,Asia,6534479,38659,1447,30099,7113,24,267718,Europe
Afghanistan,Asia,39009447,36896,1298,25840,9758,31,90396,EasternMediterranean
Switzerland,Europe,8660952,36108,1985,31600,2523,23,822764,Europe
Azerbaijan,Asia,10148243,33247,479,29275,3493,66,766179,Europe
Morocco,Africa,36953359,29644,449,20553,8642,31,1383816,EasternMediterranean
Uzbekistan,Asia,33516027,28315,175,19291,8849,228,1377915,Europe
Serbia,Europe,8733665,27332,621,14047,12664,120,723137,Europe
Moldova,Europe,4032983,26628,828,18676,7124,362,128076,Europe
Ireland,Europe,4943200,26372,1768,23364,1240,5,652917,Europe
Kenya,Africa,53881160,24411,399,10444,13568,44,335318,Africa
Venezuela,South America,28427499,22299,195,12146,9958,42,1567431,Americas
Austria,Europe,9011577,21696,719,19596,1381,25,937275,Europe
Costa Rica,North America,5098730,21070,200,7038,13832,103,96110,Americas
Ethiopia,Africa,115223736,20900,365,9027,11508,185,468814,Africa
Australia,Australia/Oceania,25528864,19890,255,10941,8694,52,4631419,WesternPacific
El Salvador,North America,6489514,19126,513,9236,9377,509,251271,Americas
Czechia,Europe,10711019,17731,390,12320,5021,17,728670,Europe
Cameroon,Africa,26606188,17718,391,15320,2007,30,149000,Africa
S. Korea,Asia,51273732,14519,303,13543,673,18,1613652,WesternPacific
Denmark,Europe,5794279,14306,617,12787,902,2,1654512,Europe
Bulgaria,Europe,6942854,13014,435,7374,5205,47,294087,Europe
Madagascar,Africa,27755708,12526,134,10148,2244,88,46301,Africa
North Macedonia,Europe,2083365,11399,517,7480,3402,3,109946,Europe
Senegal,Africa,16783877,10715,223,7101,3391,33,114761,Africa
Norway,Europe,5425471,9468,256,8857,355,3,472841,Europe
Malaysia,Asia,32406372,9038,125,8713,200,2,991333,WesternPacific
French Guiana,South America,299385,8127,47,7240,840,23,41412,
Gabon,Africa,2230563,7787,51,5609,2127,11,85369,Africa
Guinea,Africa,13164905,7664,49,6757,858,24,14407,Africa
Luxembourg,Europe,626952,7073,119,5750,1204,9,623994,Europe
Mauritania,Africa,4660728,6444,157,5291,996,3,57387,Africa
Paraguay,South America,7141091,6375,66,4974,1335,23,135277,Americas
Albania,Europe,2877470,6016,188,3155,2673,23,38997,Europe
Lebanon,Asia,6822220,5672,70,1974,3628,46,345268,EasternMediterranean
Croatia,Europe,4102577,5404,155,4688,561,7,125317,Europe
Greece,Europe,10417673,5123,210,1374,3539,14,619393,Europe
Maldives,Asia,541448,4680,19,2725,1936,12,85587,South-EastAsia
CAR,Africa,4837752,4620,59,1641,2920,2,29589,
Hungary,Europe,9657785,4597,600,3463,534,8,352546,Europe
Malawi,Africa,19174839,4491,137,2137,2217,4,33466,Africa
Hong Kong,Asia,7503041,3850,46,2458,1346,39,692430,WesternPacific
Thailand,Asia,69817894,3330,58,3148,124,1,749213,South-EastAsia
Mayotte,Africa,273419,3042,39,2738,265,2,13000,
Eswatini,Africa,1161348,2968,55,1476,1437,5,20784,Africa
Sri Lanka,Asia,21422362,2839,11,2541,287,1,166737,South-EastAsia
Cuba,North America,11325899,2775,88,2409,278,4,285471,Americas
Namibia,Africa,2545264,2652,15,563,2074,24,29233,Africa
Slovakia,Europe,5459915,2480,29,1824,627,2,272322,Europe
Slovenia,Europe,2078968,2223,125,1909,189,2,135702,Europe
Lithuania,Europe,2718121,2171,81,1656,434,6,540784,Europe
Suriname,South America,587154,2096,29,1446,621,9,2785,Americas
Guinea-Bissau,Africa,1972277,2032,27,944,1061,5,1500,Africa
Benin,Africa,12151976,1936,38,1600,298,1,93677,Africa
Tunisia,Africa,11830801,1642,51,1241,350,9,100298,EasternMediterranean
Angola,Africa,32956300,1483,64,520,899,20,64747,Africa
Uruguay,South America,3474956,1318,37,1079,202,2,126956,Americas
Jordan,Asia,10213138,1232,11,1171,50,3,628745,EasternMediterranean
Togo,Africa,8296582,1012,22,697,293,2,45767,Africa
Andorra,Europe,77278,944,52,828,64,1,3750,Europe
Botswana,Africa,2356075,804,2,63,739,1,68423,Africa
Bahamas,North America,393616,761,14,91,656,1,4814,Americas
R̩union,Africa,895952,671,5,592,74,3,35419,
Guyana,South America,786936,538,22,189,327,2,5165,Americas
Martinique,North America,375235,276,15,98,163,1,12227,
Sint Maarten,North America,42924,160,16,64,80,3,1115,
Turks and Caicos,North America,38768,129,2,39,88,3,1252,
Monaco,Europe,39270,125,4,105,16,2,38209,Europe
Antigua and Barbuda,North America,98010,92,3,76,13,1,1500,Americas
Belize,North America,398312,86,2,31,53,2,3679,Americas
Saint Martin,North America,38729,53,3,41,9,1,1183,
